 USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
072880 99999 201110310000 360   1 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   54   53 1021.6 *****  984.7 *** *** *****  0.00 *****  0.00 ** 
072880 99999 201110310100 ***   0 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   54   53 1021.3 *****  984.4 *** ***  0.00 ***** ***** ***** ** 
072880 99999 201110310200 ***   0 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   53   53 1020.6 *****  983.7 *** ***  0.00 ***** ***** ***** ** 
072880 99999 201110310300 030   2 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   53   52 1020.0 *****  983.1 *** *** ***** ***** *****  0.00 ** 
072880 99999 201110310400 030   1 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   53   50 1019.7 *****  982.8 *** ***  0.00 ***** ***** ***** ** 
072880 99999 201110310500 040   2 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   50   49 1019.7 *****  982.6 *** ***  0.00 ***** ***** ***** ** 
072880 99999 201110310600 ***   0 *** 722 SCT 0 3 2  6.2 ** ** ** ** ** ** ** ** *   48   47 1019.8 *****  982.5  56  48 ***** *****  0.00  0.00 ** 
072880 99999 201110310700 ***   0 *** 256 BKN 0 3 2  6.2 ** ** ** ** ** ** ** ** *   48   47 1020.1 *****  982.8 *** ***  0.00 ***** ***** ***** ** 
072880 99999 201110310800 010   1 *** 256 BKN 0 0 2  7.5 ** ** ** ** ** ** ** ** *   50   50 1020.0 *****  982.9 *** ***  0.00 ***** ***** ***** ** 
072880 99999 201110310900 ***   0 *** 256 BKN 0 0 2  9.4 ** ** ** ** ** ** ** ** *   55   48 1019.6 *****  982.8 *** *** ***** ***** *****  0.00 ** 
072880 99999 201110311000 240   5 *** 256 BKN 5 0 2  9.4 ** ** ** ** ** ** ** ** *   58   51 1019.6 *****  983.0 *** ***  0.00 ***** ***** ***** ** 
072880 99999 201110311100 240   7 ***  20 BKN 2 * *  9.4 ** ** ** ** ** ** ** ** *   57   52 1019.3 *****  982.7 *** ***  0.00 ***** ***** ***** ** 
072880 99999 201110311200 240   5 ***  21 BKN 2 * *  9.4 ** ** ** ** ** ** ** ** *   57   52 1018.6 *****  982.1 *** *** *****  0.00 *****  0.00 ** 
072880 99999 201110311300 250   5 ***  23 BKN 2 * *  9.4 ** ** ** ** ** ** ** ** *   59   53 1018.0 *****  981.6 *** ***  0.00 ***** ***** ***** ** 
072880 99999 201110311400 310   2 *** 256 BKN 2 0 2 11.2 ** ** ** ** ** ** ** ** *   61   53 1017.0 *****  980.8 *** ***  0.00 ***** ***** ***** ** 
