USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
160080 99999 201110310000 ***   0 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   36   29 ****** *****  858.7 *** *** *****  0.00 ***** ***** ** 
160080 99999 201110310100 ***   0 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   36   29 ****** *****  858.7 *** *** ***** ***** ***** ***** ** 
160080 99999 201110310300 ***   0 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   35   29 ****** *****  858.0 *** *** ***** ***** ***** ***** ** 
160080 99999 201110310500 ***   0 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   34   29 ****** *****  858.0 *** *** ***** ***** ***** ***** ** 
160080 99999 201110310600 ***   0 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   33   29 ****** *****  858.0 ***  33 ***** ***** *****  0.00 ** 
160080 99999 201110310700 ***   0 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   33   29 ****** *****  858.0 *** *** ***** ***** ***** ***** ** 
160080 99999 201110310800 ***   0 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   37   31 ****** *****  858.1 *** *** ***** ***** ***** ***** ** 
160080 99999 201110310900 ***   0 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   45   37 ****** *****  857.9 *** *** ***** ***** ***** ***** ** 
160080 99999 201110311000 210   7 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   49   32 ****** *****  857.8 *** *** ***** ***** ***** ***** ** 
160080 99999 201110311100 200   8 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   50   32 ****** *****  857.3 *** *** ***** ***** ***** ***** ** 
160080 99999 201110311200 180   7 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   51   33 ****** *****  856.6 *** *** *****  0.00 ***** ***** ** 
160080 99999 201110311300 210   8 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   53   29 ****** *****  856.4 *** *** ***** ***** ***** ***** ** 
160080 99999 201110311400 240   8 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   53   31 ****** *****  856.2 *** *** ***** ***** ***** ***** ** 
160080 99999 201110311500 230   7 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   51   30 ****** *****  855.7 *** *** ***** ***** ***** ***** ** 
160080 99999 201110311600 ***   0 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   46   31 ****** *****  856.2 *** *** ***** ***** ***** ***** ** 
160080 99999 201110311700 ***   0 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   45   33 ****** *****  856.4 *** *** ***** ***** ***** ***** ** 
160080 99999 201110311800 ***   0 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   42   32 ****** *****  856.6  63 *** ***** ***** *****  0.00 ** 
160080 99999 201110311900 ***   0 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   41   32 ****** *****  856.8 *** *** ***** ***** ***** ***** ** 
160080 99999 201110312000 ***   0 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   39   31 ****** *****  856.9 *** *** ***** ***** ***** ***** ** 
160080 99999 201110312100 ***   0 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   37   31 ****** *****  857.0 *** *** ***** ***** ***** ***** ** 
160080 99999 201110312200 ***   0 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   36   30 ****** *****  857.0 *** *** ***** ***** ***** ***** ** 
160080 99999 201110312300 ***   0 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   36   31 ****** *****  857.0 *** *** ***** ***** ***** ***** ** 
160080 99999 201111010000 ***   0 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   36   30 ****** *****  856.9 *** *** *****  0.00 ***** ***** ** 
160080 99999 201111010300 ***   0 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   33   29 ****** *****  856.4 *** *** ***** ***** ***** ***** ** 
160080 99999 201111010500 ***   0 *** 722 CLR 0 0 0  6.2 ** ** ** ** ** ** ** ** *   33   28 ****** *****  856.2 *** *** ***** ***** ***** ***** ** 
160080 99999 201111010600 ***   0 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   33   28 ****** *****  856.2 ***  33 ***** ***** *****  0.00 ** 
160080 99999 201111010700 ***   0 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   33   28 ****** *****  856.5 *** *** ***** ***** ***** ***** ** 
160080 99999 201111010800 ***   0 *** 722 SCT 0 0 2 12.5 ** ** ** ** ** ** ** ** *   35   30 ****** *****  856.6 *** *** ***** ***** ***** ***** ** 
160080 99999 201111010900 ***   0 *** 722 SCT 0 0 2 12.5 ** ** ** ** ** ** ** ** *   42   32 ****** *****  856.2 *** *** ***** ***** ***** ***** ** 
160080 99999 201111011000 200   6 *** 722 SCT 0 0 3 12.5 ** ** ** ** ** ** ** ** *   50   31 ****** *****  856.1 *** *** ***** ***** ***** ***** ** 
160080 99999 201111011100 220   8 *** 722 SCT 0 0 3 12.5 ** ** ** ** ** ** ** ** *   45   30 ****** *****  855.6 *** *** ***** ***** ***** ***** ** 
160080 99999 201111011200 220   8 *** *** BKN 0 7 0 12.5 ** ** ** ** ** ** ** ** *   45   32 ****** *****  855.4 *** *** *****  0.00 ***** ***** ** 
160080 99999 201111011300 220  10 *** *** BKN 0 * 0 12.5 ** ** ** ** ** ** ** ** *   47   32 ****** *****  855.3 *** *** ***** ***** ***** ***** ** 
160080 99999 201111011400 240   8 *** 722 SCT 0 3 0 12.5 ** ** ** ** ** ** ** ** *   48   31 ****** *****  854.8 *** *** ***** ***** ***** ***** ** 
160080 99999 201111011500 230   9 *** 722 SCT 0 4 0 12.5 ** ** ** ** ** ** ** ** *   45   33 ****** *****  854.5 *** *** ***** ***** ***** ***** ** 
160080 99999 201111011600 220   6 *** 722 SCT 0 0 1 12.5 ** ** ** ** ** ** ** ** *   44   34 ****** *****  854.6 *** *** ***** ***** ***** ***** ** 
160080 99999 201111011700 120   3 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   41   32 ****** *****  855.0 *** *** ***** ***** ***** ***** ** 
160080 99999 201111011800 ***   0 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   40   32 ****** *****  855.4  50 *** ***** ***** *****  0.00 ** 
160080 99999 201111011900 ***   0 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   37   31 ****** *****  855.6 *** *** ***** ***** ***** ***** ** 
160080 99999 201111012000 ***   0 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   37   31 ****** *****  855.6 *** *** ***** ***** ***** ***** ** 
160080 99999 201111012100 ***   0 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   36   30 ****** *****  855.9 *** *** ***** ***** ***** ***** ** 
160080 99999 201111012200 ***   0 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   35   30 ****** *****  856.1 *** *** ***** ***** ***** ***** ** 
160080 99999 201111012300 ***   0 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   35   30 ****** *****  856.1 *** *** ***** ***** ***** ***** ** 
160080 99999 201111020000 ***   0 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   34   29 ****** *****  856.1 *** *** *****  0.00 ***** ***** ** 
160080 99999 201111020100 ***   0 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   34   29 ****** *****  856.1 *** *** ***** ***** ***** ***** ** 
160080 99999 201111020200 ***   0 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   33   30 ****** *****  855.3 *** *** ***** ***** ***** ***** ** 
160080 99999 201111020300 ***   0 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   33   29 ****** *****  855.0 *** *** ***** ***** ***** ***** ** 
160080 99999 201111020400 ***   0 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   33   29 ****** *****  855.1 *** *** ***** ***** ***** ***** ** 
160080 99999 201111020500 ***   0 *** 722 SCT 0 3 0  9.4 ** ** ** ** ** ** ** ** *   33   30 ****** *****  854.8 *** *** ***** ***** ***** ***** ** 
160080 99999 201111020600 ***   0 *** 722 SCT 0 3 0  9.4 ** ** ** ** ** ** ** ** *   33   30 ****** *****  854.9 ***  33 ***** ***** *****  0.00 ** 
160080 99999 201111020700 ***   0 *** 722 SCT 0 3 0 12.5 ** ** ** ** ** ** ** ** *   34   30 ****** *****  854.9 *** *** ***** ***** ***** ***** ** 
160080 99999 201111020800 ***   0 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   35   31 ****** *****  854.9 *** *** ***** ***** ***** ***** ** 
160080 99999 201111020900 ***   0 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   36   31 ****** *****  855.0 *** *** ***** ***** ***** ***** ** 
160080 99999 201111021000 170   5 *** 722 SCT 0 3 0 12.5 ** ** ** ** ** ** ** ** *   46   30 ****** *****  854.6 *** *** ***** ***** ***** ***** ** 
160080 99999 201111021100 210   9 *** 722 SCT 0 3 0 12.5 ** ** ** ** ** ** ** ** *   46   32 ****** *****  854.0 *** *** ***** ***** ***** ***** ** 
160080 99999 201111021200 210  11 *** 722 SCT 0 3 0 12.5 ** ** ** ** ** ** ** ** *   46   32 ****** *****  854.0 *** *** *****  0.00 ***** ***** ** 
160080 99999 201111021300 210  11 *** 722 SCT 0 3 0 12.5 ** ** ** ** ** ** ** ** *   44   33 ****** *****  853.5 *** *** ***** ***** ***** ***** ** 
160080 99999 201111021400 220   9 *** 722 SCT 0 3 0 12.5 ** ** ** ** ** ** ** ** *   45   33 ****** *****  853.1 *** *** ***** ***** ***** ***** ** 
160080 99999 201111021500 230   8 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   42   35 ****** *****  853.2 *** *** ***** ***** ***** ***** ** 
160080 99999 201111021600 200   6 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   39   35 ****** *****  853.2 *** *** ***** ***** ***** ***** ** 
160080 99999 201111021700 ***   0 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   39   34 ****** *****  853.3 *** *** ***** ***** ***** ***** ** 
160080 99999 201111021800 ***   0 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   37   34 ****** *****  853.9  46 *** ***** ***** *****  0.00 ** 
160080 99999 201111021900 ***   0 *** 722 CLR 0 0 0 12.5 ** ** ** ** ** ** ** ** *   36   35 ****** *****  854.0 *** *** ***** ***** ***** ***** ** 
160080 99999 201111022000 ***   0 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   36   33 ****** *****  854.0 *** *** ***** ***** ***** ***** ** 
160080 99999 201111022100 ***   0 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   35   33 ****** *****  854.1 *** *** ***** ***** ***** ***** ** 
160080 99999 201111022200 ***   0 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   34   32 ****** *****  854.1 *** *** ***** ***** ***** ***** ** 
160080 99999 201111022300 ***   0 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   34   32 ****** *****  854.1 *** *** ***** ***** ***** ***** ** 
160080 99999 201111030000 ***   0 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   33   31 ****** *****  853.3 *** *** *****  0.00 ***** ***** ** 
160080 99999 201111030100 ***   0 *** 722 CLR 0 0 0  9.4 ** ** ** ** ** ** ** ** *   33   31 ****** *****  854.1 *** *** ***** ***** ***** ***** ** 
160080 99999 201111030200 ***   0 *** 722 CLR 0 0 0  4.4 10 ** ** ** ** ** ** ** 0   33   31 ****** *****  853.1 *** *** ***** ***** ***** ***** ** 
160080 99999 201111030300 ***   0 *** 722 CLR 0 0 0  2.5 10 ** ** ** ** ** ** ** 0   33   31 ****** *****  852.8 *** *** ***** ***** ***** ***** ** 
160080 99999 201111030400 ***   0 *** 722 SCT 6 0 0  1.2 10 ** ** ** ** ** ** ** 0   32   29 ****** *****  852.8 *** *** ***** ***** ***** ***** ** 
160080 99999 201111030500 180   3 *** 722 SCT 6 0 0  1.2 10 ** ** ** ** ** ** ** 0   32   29 ****** *****  852.8 *** *** ***** ***** ***** ***** ** 
160080 99999 201111030600 170   7 ***   2 BKN 6 0 0  0.8 10 ** ** ** ** ** ** ** 1   32   30 ****** *****  852.6 ***  32 ***** ***** *****  0.00 ** 
160080 99999 201111030700 180   8 ***   3 BKN 6 0 0  0.8 10 ** ** ** ** ** ** ** 2   32   30 ****** *****  852.8 *** *** ***** ***** ***** ***** ** 
160080 99999 201111030800 170   8 ***   3 BKN 6 0 0  0.8 10 ** ** ** ** ** ** ** 2   32   29 ****** *****  852.9 *** *** ***** ***** ***** ***** ** 
160080 99999 201111030900 180   7 ***   5 BKN 6 0 0  1.2 10 ** ** ** ** ** ** ** 2   34   31 ****** *****  852.8 *** *** ***** ***** ***** ***** ** 
160080 99999 201111031000 160   8 ***   8 BKN 6 0 0  2.5 10 ** ** ** ** ** ** ** 2   36   32 ****** *****  852.6 *** *** ***** ***** ***** ***** ** 
160080 99999 201111031100 150   9 *** 118 BKN 6 3 0  5.0 10 ** ** ** ** ** ** ** 2   41   29 ****** *****  852.2 *** *** ***** ***** ***** ***** ** 
160080 99999 201111031200 160   9 *** 722 SCT 0 3 0  7.5 ** ** ** ** ** ** ** ** *   44   34 ****** *****  851.5 *** *** *****  0.00 ***** ***** ** 
160080 99999 201111031300 160  10 *** 722 SCT 0 3 0  7.5 ** ** ** ** ** ** ** ** *   42   33 ****** *****  851.3 *** *** ***** ***** ***** ***** ** 
160080 99999 201111031400 170   8 *** 722 SCT 0 3 0  7.5 ** ** ** ** ** ** ** ** *   41   36 ****** *****  851.0 *** *** ***** ***** ***** ***** ** 
160080 99999 201111031500 150   7 *** 118 BKN 6 3 0  6.2 ** ** ** ** ** ** ** ** *   40   35 ****** *****  851.0 *** *** ***** ***** ***** ***** ** 
160080 99999 201111031600 170   7 ***  14 BKN 6 3 0  4.4 10 ** ** ** ** ** ** ** 1   39   36 ****** *****  851.1 *** *** ***** ***** ***** ***** ** 
160080 99999 201111031700 160   7 *** 722 SCT 6 0 0  4.4 10 ** ** ** ** ** ** ** 1   38   37 ****** *****  851.0 *** *** ***** ***** ***** ***** ** 
160080 99999 201111031800 180   6 ***  20 BKN 6 0 0  4.4 10 ** ** ** ** ** ** ** 1   38   36 ****** *****  851.1  43 *** ***** ***** *****  0.00 ** 
160080 99999 201111031900 200   7 ***  20 BKN 6 0 0  4.4 10 ** ** ** ** ** ** ** 1   38   37 ****** *****  851.2 *** *** ***** ***** ***** ***** ** 
160080 99999 201111032000 160   7 ***  20 BKN 6 0 0  4.4 10 ** ** ** ** ** ** ** 2   38   37 ****** *****  851.1 *** *** ***** ***** ***** ***** ** 
160080 99999 201111032100 160   7 ***  20 BKN 6 0 0  4.4 10 ** ** ** ** ** ** ** 2   38   38 ****** *****  851.0 *** *** ***** ***** ***** ***** ** 
160080 99999 201111032200 170   6 ***  20 BKN 6 0 0  4.4 10 ** ** ** ** ** ** ** 2   37   37 ****** *****  851.0 *** *** ***** ***** ***** ***** ** 
160080 99999 201111032300 180   5 ***  20 BKN 6 0 0  4.4 10 ** ** ** ** ** ** ** 2   37   36 ****** *****  851.0 *** *** ***** ***** ***** ***** ** 
160080 99999 201111040000 150   5 ***  20 BKN 6 0 0  4.4 10 ** ** ** ** ** ** ** 2   37   36 ****** *****  850.8 *** *** *****  0.00 ***** ***** ** 
160080 99999 201111040100 120   5 ***  20 BKN 6 0 0  4.4 10 ** ** ** ** ** ** ** 2   37   36 ****** *****  850.8 *** *** ***** ***** ***** ***** ** 
160080 99999 201111040200 140   6 ***  20 BKN 6 0 0  3.8 10 ** ** ** ** ** ** ** 2   37   36 ****** *****  850.0 *** *** ***** ***** ***** ***** ** 
160080 99999 201111040300 150   7 ***  20 BKN 6 0 0  3.8 10 ** ** ** ** ** ** ** 2   37   35 ****** *****  850.0 *** *** ***** ***** ***** ***** ** 
160080 99999 201111040400 160   6 ***  20 BKN 6 0 0  3.8 10 ** ** ** ** ** ** ** 2   37   35 ****** *****  850.0 *** *** ***** ***** ***** ***** ** 
160080 99999 201111040500 210   7 ***  10 OVC 6 * *  1.9 10 ** ** ** ** ** ** ** 2   38   35 ****** *****  850.2 *** *** ***** ***** ***** ***** ** 
160080 99999 201111040600 210   8 ***   7 OVC 6 * *  0.9 ** ** ** ** ** ** ** ** *   38   35 ****** *****  850.2 ***  37 ***** ***** *****  0.00 ** 
160080 99999 201111040700 190   7 ***   7 OVC 6 * *  0.9 10 ** ** ** ** ** ** ** 2   38   35 ****** *****  850.7 *** *** ***** ***** ***** ***** ** 
160080 99999 201111040800 180   8 ***   5 OVC 6 * *  0.9 10 ** ** ** ** ** ** ** 2   38   35 ****** *****  851.2 *** *** ***** ***** ***** ***** ** 
160080 99999 201111040900 160   8 ***   8 BKN 6 0 0  2.2 10 ** ** ** ** ** ** ** 2   38   35 ****** *****  851.2 *** *** ***** ***** ***** ***** ** 
160080 99999 201111041000 140   7 ***   3 OVC 6 * *  1.6 10 ** ** ** ** ** ** ** 2   38   35 ****** *****  851.3 *** *** ***** ***** ***** ***** ** 
